,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,Annual Turnover
"Dynamic (Regime, raw) (cost=0.0bps)",0.0683310588837087,0.08548421819784478,0.7993412155394954,0.9921609251087085,-0.16645957180583548,0.41049642350043136,4.329537601586699
"Dynamic (Regime, hysteresis) (cost=0.0bps)",0.08023396839810135,0.09097807650492781,0.8819044266533321,1.063364851633807,-0.1959800567950677,0.4093986383624756,3.8111627724407433
Static 60/40 (cost=0.0bps),0.08520732223466616,0.09603487397068966,0.8872539600632149,1.1200000800408765,-0.22880328524223692,0.3724042779563069,0.06442788557494229
Equal Weight (cost=0.0bps),0.09500674700025105,0.07367724758020043,1.2894991346797078,1.6213603959171075,-0.14387174921686263,0.6603572106226654,0.08225351217928308
"Dynamic (Regime, raw) (cost=5.0bps)",0.06616742470628433,0.08547807791149535,0.774086483025444,0.9607596815946675,-0.16752279502532974,0.3949756491125861,4.329537601586699
"Dynamic (Regime, hysteresis) (cost=5.0bps)",0.07833047684102,0.0909622199025075,0.8611319834209622,1.0380852727088747,-0.19650020926329492,0.39862795635023107,3.8111627724407433
Static 60/40 (cost=5.0bps),0.08517510127756905,0.09603506969624465,0.8869166393794968,1.1195622331188542,-0.22881135927037555,0.37225031811869824,0.06442788557494229
Equal Weight (cost=5.0bps),0.09496562261488996,0.07367743176746404,1.2889377430339095,1.6206438060837838,-0.14387174921686263,0.6600713700348854,0.08225351217928308
"Dynamic (Regime, raw) (cost=7.5bps)",0.06508536749978826,0.08547773594789232,0.7614306436411072,0.9450066813832606,-0.16805400008940863,0.3872884160160504,4.329537601586699
"Dynamic (Regime, hysteresis) (cost=7.5bps)",0.07737850872834741,0.09095667511788356,0.8507183076784821,1.0255258945204337,-0.19676022238715585,0.39326296641448877,3.8111627724407433
Static 60/40 (cost=7.5bps),0.08515899063845639,0.09603516922077711,0.8867479625373778,1.1193432781172137,-0.2288153962844448,0.3721733415726694,0.06442788557494229
Equal Weight (cost=7.5bps),0.09494506019799197,0.07367752687334682,1.2886569925345686,1.6202853919544946,-0.14387174921686263,0.6599284481825417,0.08225351217928308
"Dynamic (Regime, raw) (cost=10.0bps)",0.0640031501493303,0.08547921395508279,0.7487568870598457,0.929682204333395,-0.16858493426108434,0.3796492873450354,4.329537601586699
"Dynamic (Regime, hysteresis) (cost=10.0bps)",0.07642639232917148,0.09095272078635361,0.8402870377973164,1.013093765855972,-0.19702019343751453,0.38791146732586224,3.8111627724407433
Static 60/40 (cost=10.0bps),0.08514287989229817,0.09603526985318478,0.8865792747025286,1.1191243021060198,-0.22881943329851406,0.3720963672749865,0.06442788557494229
Equal Weight (cost=10.0bps),0.09492449763161143,0.07367762398746795,1.2883762056137615,1.619926898420078,-0.14387174921686263,0.6597855252911995,0.08225351217928308
